GENERAL - Microsoft Visual Studio                                                                                                                                                                                         	2h 13m 0s 
?Torrent 3.6  (build 46590) [32-bit]                                                                                                                                                                                      	1h 9m 39s 
Desktop, bottom panel or sleep mode                                                                                                                                                                                       	0h 52m 15s 
GENERAL (ќтладка) - Microsoft Visual Studio                                                                                                                                                                               	0h 24m 22s 
GENERAL - LineObject.cpp*                                                                                                                                                                                                 	0h 12m 15s 
Remove spaces from std::string in C++ - Stack Overflow - Opera                                                                                                                                                            	0h 7m 17s 
12-20-2022.txt - Notepad                                                                                                                                                                                                  	0h 6m 56s 
Network Connections                                                                                                                                                                                                       	0h 3m 46s 
c++ - Function passed as template argument - Stack Overflow - Opera                                                                                                                                                       	0h 3m 34s 
GENERAL - LineObject.h*                                                                                                                                                                                                   	0h 3m 22s 
Windows Default Lock Screen                                                                                                                                                                                               	0h 2m 47s 
WIN_imp (G:)                                                                                                                                                                                                              	0h 2m 15s 
Speedtest by Ookla - The Global Broadband Speed Test - Opera                                                                                                                                                              	0h 2m 7s 
Map in C++ Standard Template Library (STL) - GeeksforGeeks - Opera                                                                                                                                                        	0h 2m 3s 
Reverso                                                                                                                                                                                                                   	0h 1m 56s 
Task Manager                                                                                                                                                                                                              	0h 1m 28s 
Function Pointers in C and C++ - Cprogramming.com - Opera                                                                                                                                                                 	0h 1m 16s 
file with opened tabs in opera - Google Search - Opera                                                                                                                                                                    	0h 1m 13s 
https://cplusplus.com/doc/tutorial/files/ - Opera                                                                                                                                                                         	0h 1m 11s 
Ќоутбуки на HOTLINE - купити | виг≥дн≥ ц≥ни в  иЇв≥, ’арков≥, ƒн≥пре, ќдес≥ - Opera                                                                                                                                       	0h 1m 9s 
Date and Time Information                                                                                                                                                                                                 	0h 1m 9s 
Born of a Star Х Izar - Opera                                                                                                                                                                                             	0h 1m 8s 
Spotify Ц Discover Weekly - Opera                                                                                                                                                                                         	0h 1m 6s 
https://cplusplus.com/reference/string/string/erase/ - Opera                                                                                                                                                              	0h 1m 3s 
Local Disk (C:)                                                                                                                                                                                                           	0h 1m 1s 
bitwise_masks                                                                                                                                                                                                             	0h 0m 58s 
time managment                                                                                                                                                                                                            	0h 0m 52s 
opera - Search Results in Local Disk (C:)                                                                                                                                                                                 	0h 0m 52s 
Microsoft Visual Studio                                                                                                                                                                                                   	0h 0m 51s 
Settings                                                                                                                                                                                                                  	0h 0m 50s 
 + line = "GENERAL - Microsoft Visual Studio                                                      \t0h 12m 36s "                                                                                                          	0h 0m 48s 
C++, function pointer to the template function pointer - Stack Overflow - Opera                                                                                                                                           	0h 0m 46s 
G:\робстол\VS\Project1\x64\Debug\bitwise_masks.exe                                                                                                                                                                        	0h 0m 44s 
Ёкспресс-панель - Opera                                                                                                                                                                                                   	0h 0m 42s 
Windows Properties                                                                                                                                                                                                        	0h 0m 41s 
≤стор≥€ замовлень - Opera                                                                                                                                                                                                 	0h 0m 40s 
Telegram                                                                                                                                                                                                                  	0h 0m 39s 
Ќоутбуки | title | Hotline.ua - —тор≥нка 2 - Opera                                                                                                                                                                        	0h 0m 39s 
Spam (489) - tokin0078@gmail.com - Gmail - Opera                                                                                                                                                                          	0h 0m 37s 
WIN_stuff (F:)                                                                                                                                                                                                            	0h 0m 35s 
C++ | Function pointer to an instance of a function template - nextptr - Opera                                                                                                                                            	0h 0m 33s 
GENERAL - Microsoft Visual Studio (Ќе отвечает)                                                                                                                                                                           	0h 0m 33s 
Inbox (5,839) - tokin0078@gmail.com - Gmail - Opera                                                                                                                                                                       	0h 0m 33s 
https://cplusplus.com/reference/string/string/shrink_to_fit/ - Opera                                                                                                                                                      	0h 0m 32s 
Where is the "Recently closed tabs/Tab menu" button on the top right? | Opera forums - Opera                                                                                                                              	0h 0m 32s 
c++ - Pass pointer-to-template-function as function argument? - Stack Overflow - Opera                                                                                                                                    	0h 0m 28s 
ƒобавление нового элемента  - bitwise_masks                                                                                                                                                                               	0h 0m 26s 
Hotline - Opera                                                                                                                                                                                                           	0h 0m 26s 
Local Disk (C:) Properties                                                                                                                                                                                                	0h 0m 25s 
Ќоутбуки | купити за 3 хвилини! в≥дгуки, ј ÷≤ѓ, ц≥ни | Hotline&nbsp; | каталог, огл€ди, в≥део, в≥дгуки, ц≥ни, купити в ≥нтернет-магазин≥ | Hotline.ua - Opera                                                             	0h 0m 23s 
how to notate pointer function in template - Google Search - Opera                                                                                                                                                        	0h 0m 23s 
Imperial Х j^p^n - Opera                                                                                                                                                                                                  	0h 0m 22s 
Microsoft Visual†Studio Community†2022                                                                                                                                                                                    	0h 0m 21s 
WIN_stuff (F:) Properties                                                                                                                                                                                                 	0h 0m 21s 
Spotify Ц Web Player - Opera                                                                                                                                                                                              	0h 0m 20s 
–еЇстрац≥€ - Opera                                                                                                                                                                                                        	0h 0m 20s 
Ќоутбуки | title | Hotline.ua - —тор≥нка 3 - Opera                                                                                                                                                                        	0h 0m 18s 
where is opera store closed tabs - Google Search - Opera                                                                                                                                                                  	0h 0m 18s 
Microsoft Visual Studio (Ќе отвечает)                                                                                                                                                                                     	0h 0m 17s 
Oblivion Х Royal Blood - Opera                                                                                                                                                                                            	0h 0m 17s 
¬х≥д в каб≥нет покупц€ - Opera                                                                                                                                                                                            	0h 0m 17s 
?Torrent                                                                                                                                                                                                                  	0h 0m 17s 
RIDE THE WAVE Х Bearded Legend - Opera                                                                                                                                                                                    	0h 0m 16s 
GIGABYTE A5 (K1-AEE1130SD) купити в ≥нтернет-магазин≥: ц≥ни на ноутбук A5 (K1-AEE1130SD) - в≥дгуки та огл€ди, фото та характеристики. ѕор≥вн€ти пропозиц≥њ в ”крањн≥:  ињв, ’арк≥в, ќдеса, ƒн≥про на Hotline.ua - Opera   	0h 0m 15s 
Ќоутбук Gigabyte G5 GD i5-11400H/16GB/512 RTX3050 144Hz (GD-51EE123SD) - Opera                                                                                                                                            	0h 0m 15s 
Program Files (x86), ... Properties                                                                                                                                                                                       	0h 0m 15s 
WIN_imp (G:) Properties                                                                                                                                                                                                   	0h 0m 14s 
*12-20-2022.txt - Notepad                                                                                                                                                                                                 	0h 0m 14s 
Nothing warms you up like $15 off! - tokin0078@gmail.com - Gmail - Opera                                                                                                                                                  	0h 0m 14s 
Spam (490) - tokin0078@gmail.com - Gmail - Opera                                                                                                                                                                          	0h 0m 12s 
: Gigabyte A5 - Opera                                                                                                                                                                                                     	0h 0m 12s 
how to write pointer function in template - Google Search - Opera                                                                                                                                                         	0h 0m 12s 
 + [ptr] = 0x00000215d14e64b1 "Torrent 3.6  (build 46590) [32-bit]                                                   "                                                                                                    	0h 0m 12s 
Users Properties                                                                                                                                                                                                          	0h 0m 11s 
18832 Ч ваш код подтверждени€ дл€ ready2play - tokin0078@gmail.com - Gmail - Opera                                                                                                                                        	0h 0m 11s 
 онсоль отладки Microsoft Visual Studio                                                                                                                                                                                   	0h 0m 11s 
Preferences                                                                                                                                                                                                               	0h 0m 11s 
Disk Cleanup                                                                                                                                                                                                              	0h 0m 10s 
Disk Cleanup for  (C:)                                                                                                                                                                                                    	0h 0m 10s 
*Untitled - Notepad                                                                                                                                                                                                       	0h 0m 10s 
666. Х XYXXYYYXXYX - Opera                                                                                                                                                                                                	0h 0m 10s 
Games Properties                                                                                                                                                                                                          	0h 0m 10s 
uTorrent                                                                                                                                                                                                                  	0h 0m 9s 
std::stoi, std::stol, std::stoll - cppreference.com - Opera                                                                                                                                                               	0h 0m 9s 
https://cplusplus.com/reference/map/map/insert/ - Opera                                                                                                                                                                   	0h 0m 9s 
Rock You Like a Hurricane - 2015 - Remaster Х Scorpions - Opera                                                                                                                                                           	0h 0m 9s 
UE_5.0, ... Properties                                                                                                                                                                                                    	0h 0m 9s 
GENERAL                                                                                                                                                                                                                   	0h 0m 8s 
Spotify Ц Discover - Opera                                                                                                                                                                                                	0h 0m 8s 
WIN_stuff (E:)                                                                                                                                                                                                            	0h 0m 8s 
40520 Ч ваш код подтверждени€ дл€ ready2play - tokin0078@gmail.com - Gmail - Opera                                                                                                                                        	0h 0m 8s 
Lure Х Sibewest - Opera                                                                                                                                                                                                   	0h 0m 8s 
Lost my opened tabs | Opera forums - Opera                                                                                                                                                                                	0h 0m 8s 
Opera Internet Browser Properties                                                                                                                                                                                         	0h 0m 8s 
Search results - tokin0078@gmail.com - Gmail - Opera                                                                                                                                                                      	0h 0m 8s 
Recover lost tabs | Opera forums - Opera                                                                                                                                                                                  	0h 0m 8s 
ћинор Х ћќЋќƒќ—“№ ¬Ќ”“–» - Opera                                                                                                                                                                                          	0h 0m 8s 
WindowsApps, ... Properties                                                                                                                                                                                               	0h 0m 8s 
Project1                                                                                                                                                                                                                  	0h 0m 8s 
Task Switching                                                                                                                                                                                                            	0h 0m 7s 
 + rawmap = { size=1 }                                                                                                                                                                                                    	0h 0m 7s 
Spam (488) - tokin0078@gmail.com - Gmail - Opera                                                                                                                                                                          	0h 0m 7s 
Kill Or Be Killed Х Muse - Opera                                                                                                                                                                                          	0h 0m 7s 
https://www.r2p.com.ua/client_account/session/new - Opera                                                                                                                                                                 	0h 0m 6s 
https://cplusplus.com/reference/ctime/time/ - Opera                                                                                                                                                                       	0h 0m 6s 
File In Use                                                                                                                                                                                                               	0h 0m 6s 
Run                                                                                                                                                                                                                       	0h 0m 6s 
Murder You Х Oddscure - Opera                                                                                                                                                                                             	0h 0m 6s 
јдреса доставки - Opera                                                                                                                                                                                                   	0h 0m 6s 
 онтакти - Opera                                                                                                                                                                                                          	0h 0m 6s 
 + leftpart = "GENERAL - Microsoft Visual Studio                                                                                                                                                                       ...	0h 0m 6s 
“уда сюда Х Alex Ricellow - Opera                                                                                                                                                                                         	0h 0m 6s 
ѕротив цар€ Х LASKX3I - Opera                                                                                                                                                                                             	0h 0m 6s 
RESURRECTION Х CRYSTXLMXNE - Opera                                                                                                                                                                                        	0h 0m 6s 
GENERAL (выполн€етс€) - Microsoft Visual Studio                                                                                                                                                                           	0h 0m 6s 
Looking On Х NBSPLV - Opera                                                                                                                                                                                               	0h 0m 6s 
 + [ptr] = 0x00000215d14e64cf "-bit]                                                   "                                                                                                                                  	0h 0m 6s 
The Witcher 3 Properties                                                                                                                                                                                                  	0h 0m 6s 
Index of /pub/opera/desktop/ - Opera                                                                                                                                                                                      	0h 0m 5s 
c++ - How can I convert a std::string to int? - Stack Overflow - Opera                                                                                                                                                    	0h 0m 5s 
saynwaze Х Illmayze - Opera                                                                                                                                                                                               	0h 0m 5s 
?Torrent 3.6                                                                                                                                                                                                              	0h 0m 5s 
HELLBORN Х CURSEDEVIL, D4C - Opera                                                                                                                                                                                        	0h 0m 5s 
File Explorer                                                                                                                                                                                                             	0h 0m 5s 
ready2play - Opera                                                                                                                                                                                                        	0h 0m 5s 
Local                                                                                                                                                                                                                     	0h 0m 5s 
Spotify Ц Release Radar - Opera                                                                                                                                                                                           	0h 0m 4s 
THROVTCUT Х Phonk Division, Skidz - Opera                                                                                                                                                                                 	0h 0m 4s 
WIN_stuff (E:) Properties                                                                                                                                                                                                 	0h 0m 4s 
Worst Is On Its Way Х Korn - Opera                                                                                                                                                                                        	0h 0m 4s 
common                                                                                                                                                                                                                    	0h 0m 4s 
how to pass pointer to a function in a template - Google Search - Opera                                                                                                                                                   	0h 0m 4s 
rip 21 Х Skidz - Opera                                                                                                                                                                                                    	0h 0m 4s 
«нижки та бонуси - Opera                                                                                                                                                                                                  	0h 0m 4s 
»зменение и продолжение                                                                                                                                                                                                   	0h 0m 4s 
“ермопаста Thermal Grizzly Kryonaut Extreme, 2 г, шприц, 14.2 ¬т/м  (TG-KE-002-R) Ч замовити, купити, ц≥на, в≥дгуки, доставка по  иЇву та ”крањн≥ | exe.ua - Opera                                                        	0h 0m 4s 
 + spacingmap = { size=11 }                                                                                                                                                                                               	0h 0m 4s 
.LoAir. - 2022 Х Dead Poet Society - Opera                                                                                                                                                                                	0h 0m 4s 
Find                                                                                                                                                                                                                      	0h 0m 4s 
Networks                                                                                                                                                                                                                  	0h 0m 4s 
Spotify - Web Player: Music for everyone - Opera                                                                                                                                                                          	0h 0m 4s 
Ghost Blood (with MXMS) Х Saint Punk, MXMS - Opera                                                                                                                                                                        	0h 0m 3s 
Untitled - Notepad                                                                                                                                                                                                        	0h 0m 3s 
stoi C++ - Google Search - Opera                                                                                                                                                                                          	0h 0m 3s 
Butterfly Х ONEKLAB, RXLZQ - Opera                                                                                                                                                                                        	0h 0m 3s 
 + dest = " 3.6  (build 46590) [32-bit]                                                   "                                                                                                                               	0h 0m 3s 
 + dest = "-bit]                                                   "                                                                                                                                                      	0h 0m 3s 
Spotify Ц Search - Opera                                                                                                                                                                                                  	0h 0m 3s 
Temp Properties                                                                                                                                                                                                           	0h 0m 3s 
std::string::shrink_to_fit - Google Search - Opera                                                                                                                                                                        	0h 0m 3s 
PRINCE OF DARKNESS Х SHADXWBXRN, ARCHEZ, KXNVRA - Opera                                                                                                                                                                   	0h 0m 3s 
Jump List for Opera Internet Browser                                                                                                                                                                                      	0h 0m 3s 
Index of /pub/opera/desktop/42.0.2393.351/ - Opera                                                                                                                                                                        	0h 0m 3s 
If I Were You Х Nothing But Thieves - Opera                                                                                                                                                                               	0h 0m 3s 
Supernatural Х Barns Courtney - Opera                                                                                                                                                                                     	0h 0m 3s 
Black Sapphire Х AL-90 - Opera                                                                                                                                                                                            	0h 0m 3s 
Lose Our Minds Х Curbi, Jess Ball - Opera                                                                                                                                                                                 	0h 0m 3s 
Spit In My Face - Remix Х Eliot Richomme Productions, ThxSoMch - Opera                                                                                                                                                    	0h 0m 3s 
12-19-2022.txt - Notepad                                                                                                                                                                                                  	0h 0m 3s 
Flare Х Hensonn - Opera                                                                                                                                                                                                   	0h 0m 3s 
Search                                                                                                                                                                                                                    	0h 0m 3s 
Spotify Ц Chill Mix - Opera                                                                                                                                                                                               	0h 0m 3s 
Select  онсоль отладки Microsoft Visual Studio                                                                                                                                                                            	0h 0m 3s 
std::string::erase - Google Search - Opera                                                                                                                                                                                	0h 0m 2s 
steamapps                                                                                                                                                                                                                 	0h 0m 2s 
where is opera store closed tabs in opera - Google Search - Opera                                                                                                                                                         	0h 0m 2s 
Program Manager                                                                                                                                                                                                           	0h 0m 2s 
 + dest = "Torrent 3.6  (build 46590) [32-bit]                                                   "                                                                                                                        	0h 0m 2s 
 + rawmap = { size=6 }                                                                                                                                                                                                    	0h 0m 2s 
 + itr = "Torrent 3.6  (build 46590) [32-bit]                                                   "                                                                                                                         	0h 0m 2s 
—редство визуализации текста                                                                                                                                                                                              	0h 0m 2s 
Replace or Skip Files                                                                                                                                                                                                     	0h 0m 2s 
VS                                                                                                                                                                                                                        	0h 0m 2s 
Hollowed Out Х Like Saturn - Opera                                                                                                                                                                                        	0h 0m 2s 
Grave Х Pluxry SkUrt - Opera                                                                                                                                                                                              	0h 0m 2s 
Cursed Х The Hate Club - Opera                                                                                                                                                                                            	0h 0m 2s 
